IR, Red
659,705
657,726
651,754
615,781
603,814
599,788
608,808
575,790
533,773
568,741
590,753
572,760
645,701
692,694
645,743
666,707
645,751
610,824
604,799
599,788
585,802
564,776
561,749
601,755
585,740
597,707
655,717
636,769
674,754
641,725
642,762
621,802
612,788
584,778
535,804
568,770
625,768
595,744
605,705
620,704
628,762
645,756
608,776
615,764
647,755
612,792
586,767
545,769
582,796
607,777
612,756
633,698
629,716
583,781
645,755
628,801
613,792
631,739
602,749
575,784
537,776
599,766
614,831
613,755
650,697
645,719
581,766
592,762
616,796
604,819
627,774
639,719
588,761
528,771
598,765
634,784
607,765
645,716
645,740
612,770
575,760
604,803
621,801
613,771
623,748
598,754
544,766
609,767
616,786
618,757
690,718
647,742
613,748
585,774
585,809
621,805
620,775
609,744
606,718
555,744
597,781
604,735
605,774
648,712
656,735
630,764
609,766
572,783
585,814
619,786
612,780
584,725
591,741
611,759
627,773
622,739
649,729
643,780
627,771
614,762
593,797
556,824
595,774
612,772
555,760
561,728
648,726
584,738
634,704
657,698
642,778
645,798
615,782
550,809
579,828
573,760
586,775
549,754
562,742
646,733
643,728
642,727
651,705
638,761
640,840
615,783
612,787
738,813
2898,2189
12814,11179
27340,25456
53984,51012
98129,98282
110229,106197
112504,110229
117449,124094
112619,125054
111133,121817
109511,114454
106152,105707
114327,110435
120147,114337
123769,116339
127499,118034
129667,118805
129889,118609
129621,118157
129603,117806
129862,117710
130064,117740
130337,117945
130261,117892
130155,117661
130180,117480
130129,117324
129728,117061
129167,116734
129278,116688
129278,116514
129126,116330
129027,116181
128940,116044
128790,115920
128676,115786
128593,115671
128460,115553
128378,115457
128338,115404
128283,115348
128148,115214
128010,115112
127964,115050
127871,114964
127754,114876
127499,114742
127128,114514
127080,114411
127133,114400
127164,114397
127158,114350
127185,114313
127151,114289
127096,114207
127118,114203
127113,114185
127091,114174
127123,114148
127116,114151
127130,114127
127111,114083
127109,114078
127105,114050
127004,114017
126632,113844
126237,113665
126199,113624
126353,113662
126452,113689
126542,113705
126606,113708
126619,113701
126609,113690
126621,113662
126625,113654
126684,113672
126708,113656
126695,113651
126740,113671
126747,113650
126774,113654
126773,113643
126712,113579
126319,113396
125776,113173
125661,113148
125834,113181
125960,113234
126091,113258
126197,113306
126234,113313
126220,113277
126230,113272
126280,113239
126347,113263
126385,113271
126452,113276
126439,113266
126444,113251
126478,113248
126474,113224
126458,113226
126155,113087
125573,112862
125391,112775
125543,112837
125702,112875
125850,112912
125980,112931
126024,112965
125992,112954
126009,112927
126040,112920
126101,112939
126163,112947
126173,112941
126214,112950
126231,112941
126245,112926
126271,112923
126233,112904
125839,112735
125200,112468
125038,112407
125197,112459
125303,112495
125511,112551
125634,112571
125684,112602
125711,112595
125714,112591
125771,112597
125848,112605
125938,112636
125978,112646
126005,112638
126029,112656
126056,112647
126091,112645
126104,112642
125917,112559
125194,112277
124710,112081
124775,112108
124986,112175
125081,112196
125275,112267
125387,112299
125429,112319
125428,112294
125444,112313
125539,112338
125618,112372
125733,112399
125768,112401
125808,112409
125867,112431
125897,112415
125939,112424
125961,112420
125815,112346
125046,112053
124401,111827
124328,111798
124516,111888
124659,111915
124805,111961
124985,112025
125014,112027
125030,112025
125080,112027
125183,112044
125285,112071
125401,112109
125506,112161
125559,112160
125610,112186
125675,112210
125721,112190
125761,112206
125812,112214
125361,112056
124417,111701
123948,111528
124045,111548
124229,111559
124388,111664
124591,111713
124718,111765
124798,111792
124815,111791
124843,111796
125005,111835
125107,111868
125252,111916
125369,111951
125409,111943
125475,111971
125560,111981
125558,111993
125634,112011
125447,111937
124545,111589
123785,111311
123732,111311
123923,111360
124095,111412
124301,111478
124521,111544
124584,111568
124638,111575
124660,111574
124786,111615
124976,111665
125130,111721
125253,111760
125338,111786
125407,111816
125429,111797
125482,111827
125537,111841
125460,111819
124714,111510
123722,111155
123537,111080
123682,111129
123862,111225
124053,111277
124237,111342
124334,111363
124363,111359
124378,111375
124474,111388
124659,111456
124829,111530
125005,111563
125132,111606
125215,111643
125269,111647
125343,111670
125423,111707
125473,111726
125089,111571
124020,111176
123477,110993
123553,111022
123735,111074
123889,111122
124101,111197
124284,111249
124330,111248
124350,111268
124459,111301
124611,111350
124780,111411
124952,111450
125080,111485
125166,111527
125262,111564
125308,111565
125361,111567
125452,111618
125496,111608
124964,111415
123871,111023
123457,110879
123573,110909
123716,110952
123906,111013
124116,111083
124244,111132
124312,111132
124310,111153
124411,111178
124612,111232
124757,111287
124920,111325
125030,111381
125130,111413
125242,111440
125267,111454
125350,111452
125415,111467
125474,111497
125130,111360
124069,110977
123509,110776
123604,110810
123780,110898
123915,110918
124120,110978
124263,111023
124316,111046
124361,111054
124415,111079
124557,111112
124777,111160
124884,111204
125012,111247
125100,111271
125174,111293
125270,111318
125294,111334
125388,111363
125457,111373
125459,111380
124876,111149
123893,110803
123665,110719
123789,110768
123977,110830
124113,110879
124263,110929
124446,110966
124461,110993
124507,110984
124585,111014
124706,111066
124895,111117
125021,111141
125121,111192
125215,111222
125240,111227
125361,111254
125427,111269
125489,111295
125554,111301
125333,111241
124506,110915
123888,110700
123907,110707
124071,110801
124240,110832
124384,110877
124523,110930
124607,110945
124632,110937
124656,110956
124786,110989
124935,111029
125074,111079
125158,111087
125247,111145
125317,111148
125373,111172
125433,111173
125483,111185
125562,111221
125446,111180
124743,110913
123983,110634
123883,110608
124060,110672
124198,110713
124330,110755
124532,110826
124587,110841
124618,110856
124652,110879
124756,110888
124899,110932
